,Origin,Destination,LocalEstimatedDepartureTime,LocalEstimatedArrivalTime,EstimatedTotalTransitTimeDays,Ports,Vessels,Dates,ScrapingDate,ScrapingSite
0,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-04-27 17:00:00,2023-06-21 08:59:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['MAERSK LAUNCESTON', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BRANI', '9409352', 'SG', '2010', 'CLX', '9V8208'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 4, 27, 17, 0), datetime.datetime(2023, 5, 12, 23, 0), datetime.datetime(2023, 5, 20, 7, 0), datetime.datetime(2023, 6, 19, 0, 1), datetime.datetime(2023, 6, 20, 19, 59), datetime.datetime(2023, 6, 21, 8, 59)]",2023-04-27,Maersk
1,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-04 08:30:00,2023-06-28 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['FORT DESAIX', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BALI', '9394870', 'SG', '2008', 'CLX', '9V7499'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 5, 4, 8, 30), datetime.datetime(2023, 5, 19, 23, 0), datetime.datetime(2023, 5, 27, 7, 0), datetime.datetime(2023, 6, 26, 0, 1), datetime.datetime(2023, 6, 27, 20, 0), datetime.datetime(2023, 6, 28, 9, 0)]",2023-04-27,Maersk
2,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-11 08:30:00,2023-07-05 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR COLOMBIA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['SAFMARINE BENGUELA', '9355367', 'HK', '2009', 'CLX', 'VRLA3'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 5, 11, 8, 30), datetime.datetime(2023, 5, 26, 23, 0), datetime.datetime(2023, 6, 3, 7, 0), datetime.datetime(2023, 7, 3, 0, 1), datetime.datetime(2023, 7, 4, 20, 0), datetime.datetime(2023, 7, 5, 9, 0)]",2023-04-27,Maersk
3,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-18 08:30:00,2023-07-12 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JPO LIBRA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BUTON', '9392925', 'SG', '2008', 'CLX', '9V7498'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 5, 18, 8, 30), datetime.datetime(2023, 6, 2, 23, 0), datetime.datetime(2023, 6, 10, 7, 0), datetime.datetime(2023, 7, 10, 0, 1), datetime.datetime(2023, 7, 11, 20, 0), datetime.datetime(2023, 7, 12, 9, 0)]",2023-04-27,Maersk
4,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-25 08:30:00,2023-07-19 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR ARGENTINA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BRATAN', '9394894', 'SG', '2009', 'CLX', '9V8044'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 5, 25, 8, 30), datetime.datetime(2023, 6, 9, 23, 0), datetime.datetime(2023, 6, 17, 7, 0), datetime.datetime(2023, 7, 17, 0, 1), datetime.datetime(2023, 7, 18, 20, 0), datetime.datetime(2023, 7, 19, 9, 0)]",2023-04-27,Maersk
5,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-25 08:30:00,2023-07-19 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR ARGENTINA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BRATAN', '9394894', 'SG', '2009', 'CLX', '9V8044'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 5, 25, 8, 30), datetime.datetime(2023, 6, 9, 23, 0), datetime.datetime(2023, 6, 17, 7, 0), datetime.datetime(2023, 7, 17, 0, 1), datetime.datetime(2023, 7, 18, 20, 0), datetime.datetime(2023, 7, 19, 9, 0)]",2023-04-27,Maersk
6,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-01 08:30:00,2023-07-26 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR PERU', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['POLAR CHILE', '9797187', 'LR', '2018', 'CLX', 'D5PH8'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 6, 1, 8, 30), datetime.datetime(2023, 6, 16, 23, 0), datetime.datetime(2023, 6, 24, 7, 0), datetime.datetime(2023, 7, 24, 0, 1), datetime.datetime(2023, 7, 25, 20, 0), datetime.datetime(2023, 7, 26, 9, 0)]",2023-04-27,Maersk
7,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-08 08:30:00,2023-08-02 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR COLOMBIA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BATUR', '9402029', 'SG', '2009', 'CLX', '9V8207'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 6, 8, 8, 30), datetime.datetime(2023, 6, 23, 23, 0), datetime.datetime(2023, 7, 1, 7, 0), datetime.datetime(2023, 7, 31, 0, 1), datetime.datetime(2023, 8, 1, 20, 0), datetime.datetime(2023, 8, 2, 9, 0)]",2023-04-27,Maersk
8,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-15 08:30:00,2023-08-09 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JPO LIBRA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BINTAN', '9355288', 'HK', '2008', 'CLX', 'VROX4'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 6, 15, 8, 30), datetime.datetime(2023, 6, 30, 23, 0), datetime.datetime(2023, 7, 8, 7, 0), datetime.datetime(2023, 8, 7, 0, 1), datetime.datetime(2023, 8, 8, 20, 0), datetime.datetime(2023, 8, 9, 9, 0)]",2023-04-27,Maersk
9,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-22 08:30:00,2023-08-16 09:00:00,55 days,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['POLAR ARGENTINA', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['MAERSK BRANI', '9409352', 'SG', '2010', 'CLX', '9V8208'], ['barge', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]","[datetime.datetime(2023, 6, 22, 8, 30), datetime.datetime(2023, 7, 7, 23, 0), datetime.datetime(2023, 7, 15, 7, 0), datetime.datetime(2023, 8, 14, 0, 1), datetime.datetime(2023, 8, 15, 20, 0), datetime.datetime(2023, 8, 16, 9, 0)]",2023-04-27,Maersk
